source_system,department_code,position_name,cleaned_name,category,rate,harm,rank,cluster,etalon_name
1,241,Настройщик музыкальных инструментов,Настройщик музыкальных инструментов,,,,,683.0,Настройщик инструментов
1,247,Преподаватель без категории,Преподаватель,без категории,,,,139.0,Преподаватель
1,247,заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,247,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,247,уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,247,Преподаватель 1 категории,Преподаватель,1 категория,,,,139.0,Преподаватель
1,247,преподаватель,Преподаватель,,,,,139.0,Преподаватель
1,247,экономист,Экономист,,,,,571.0,Экономист
1,247,директор,Директор,,,,,24.0,Директор
1,247,Концертмейстер,Концертмейстер,,,,,419.0,Концертмейстер
1,251,Младший научный сотрудник,Младший научный сотрудник,,,,,36.0,Младший научный сотрудник
1,251,Уборщик служебных помещений,Уборщик служебных помещений,,,,,1054.0,Уборщик служебных помещений
1,251,Смотритель музейный,Смотритель музейный,,,,,449.0,Техник-смотритель
1,251,Заведующий реставрационной мастерской,Заведующий реставрационной мастерской,,,,,,
1,251,Заведующий отделом,Заведующий отделом,,,,,1636.0,Заведующий отделом
1,251,Библиотекарь,Библиотекарь,,,,,,
1,251,Художник-реставратор,Художник-реставратор,,,,,270.0,Художник-реставратор
1,251,Рабочий по комплексному обслуживанию и ремонту зданий,Рабочий по комплексному обслуживанию ремонту зданий,,,,,1663.0,Рабочий по обслуживанию ремонту зданий
1,251,Директор музея,Директор музея,,,,,1610.0,Директор музея
1,251,Заведующий канцелярией,Заведующий канцелярией,,,,,893.0,Заведующая канцелярией
1,251,Главный бухгалтер,Главный бухгалтер,,,,,521.0,Главный бухгалтер
1,251,Научный сотрудник,Научный сотрудник,,,,,36.0,Младший научный сотрудник
1,251,Главный хранитель фондов,Главный хранитель фондов,,,,,752.0,Главный хранитель фондов
1,251,Заведующий филиалом,Заведующий филиалом,,,,,,
1,251,Специалист по учетно - хранительской документации,Специалист по учетно хранительской документации,,,,,496.0,Специалист по документации
1,251,Старший научный сотрудник,Старший научный сотрудник,,,,,36.0,Младший научный сотрудник
1,251,Заместитель директора,Заместитель директора,,,,,37.0,Заместитель директора
1,251,Хранитель фондов,Хранитель фондов,,,,,752.0,Главный хранитель фондов
1,251,Дворник,Дворник,,,,,192.0,Дворник
1,251,Инженер-программист,Инженер-программист,,,,,136.0,Инженер- программист
1,251,Художник,Художник,,,,,144.0,Художник
