cluster_id,etalon_name
657,Врач лаб диагностики
658,Начальник отдела римк
659,Заместитель врача по части по
660,Ио заведующего
661,Главный государственный инженер-инспектор курска
662,Инженер энергетик
663,Заведующий частью образцовый музыкальный театр
664,Заведующий отделением социального обслуживания
665,Архивариус
666,Специалист по контролю
667,Бухгалтер по учету питания учреждениях
668,Учитель труда
669,Санитар по трупов морг ночное
670,Старшая вожатая библиотекарь
671,Главный специалист по реализации целевых
672,Председатель контрольно счетной палаты
673,Буфетчица отд
674,Ведущий специалист-эксперт отдела
675,Ведущий специалист- эксперт по делам
676,Лаб техник
677,Главный специалист-эксперт отдела планирования исполнения
678,Начальник отдела выплат
679,Ведущий дизайнер
680,Главный специалист-эксперт управления инвестиционной политики
681,Концертмейстер по совместительству
682,Санитар кабинета врача-акушера-гинеколога поликлиники
683,Настройщик инструментов
684,Инженер объединенных служб
685,Начальник штаба обороны чрезвычайных ситуаций
686,Балетмейстер-постановщик
687,Руководитель-ль физ-го воспитания
688,Главный специалист отдел по предоставлению
689,Истопник
690,Слесарь- электрик
691,Руководитель центра
692,Хормейстер коллектива фольклорный ансамбль
693,Машинист кочегар
694,Преподаватель организатор
695,Начальник отдела транспорта жкх
696,Экономист по договорной работе
697,Методист по фонду
698,Начальник отдела использования публикации документов
699,Заведующий -й
700,Воспитатель сопровождающий
701,Заместитель директора- руководитель контрактной службы
702,Главный библиограф
703,Заведующий складом
704,Методист по воспитанию
705,Воспитатель направления худ развития
706,Главный конструктор института
707,Лаборант химии
708,Начальник отдела учета
709,Заместитель начальника отдела по капиталу
710,Ремонтировщик плоскостных спортивных сооружений
711,Специалист по выполнению полномочий
712,Начальник отдела аппарата
713,Слесарь-дорожный рабочий
714,Главный специалист-эксперт по труду отдела
715,Провизор
716,Экономист по учету анализу хозяйственной
717,Главный специалист-экономист
718,Администратор оркестра
719,Начальник мку
720,Инженер-проектировщик
721,Преподаватель баяна аккордеона
722,Слесарь- эелектрик по ремонту электрооборудования
723,Медсестракабинета
724,Главный специалист-эксперт сфере трудовых отношений
725,Секретарь руководителя
726,Воспитатель специалист
727,Начальник отдела соц обеспечения
728,Раздатчик нефтепродуктов
729,Санитарка палатная
730,Специалист отдела культуры по делам
731,Начальник центра врач-методист
732,Директор учреждения
733,Главный специалист-эксперт по вопросам архитектуры
734,Главный консультант отдела финансирования учета
735,Консультант по информац обеспечению
736,Мастер хозяйства
737,Художник-гример
738,Учитель истории основ православной культуры
739,Заместитель директора по учебно-производственной работе
740,Первый заместитель главы города льгова
741,Заведующий приит
742,Врач-травмотолог-ортопед
743,Рабочий по обслуживанию тепловых сетей
744,Пдо по воспитанию
745,Начальник упрвления по имуществу архитектуре
746,Заведующая сектором автоматизации
747,Заместитель директора по учету отчетности
748,Заведующий отделением лучевой диагностики врач-рентгенолог
749,Педагог-преподаватель основам безопасности жизнедеятельности
750,Специалист ответственный за обеспечение безопасности
751,Заведующая библиотеки чтения
752,Главный хранитель фондов
753,Инспектор-ведущий специалист-эксперт ревизионной комиссии
754,Воспитатель группы
755,Специалист по методике клубной работы
756,Старшая пионервожатая
757,Начальник отдела архитектуры строительства
758,Инженер-электроник
759,Ведущий бухгалтер по расчетам рабочими
760,Слесарь по ремонту обслуживанию систем
761,Учитель точка роста
762,Электромонтер по рем обслуж оборуд
763,Мероприятия по отлову содержанию безнадзорных
764,Заместитель начальника управления аграрной политики
765,Буфетчик
766,Ведущий эксперт управления
767,Начальник отдела учета культуры
768,Режисер массовых мероприятий
769,Зубной врач для дет
770,Рабочий по стирке специалист одежды
771,Заведующий костюмерной
772,Заместитель директора руководитель службы обеспечения
773,Артист ведущий мастер сцены
774,Начальник управления организационной работы развития
775,Заведующий отделением-врач-радиотерапевт
776,Ведущий специалист-эксперт по опеке попечительству
777,Руководитель кружка
778,Врач эксперт
779,Начальник отдела экономического анализа финансирования
780,Заведующий метод кабинетом
781,Главный библиотекарь
782,Консультант аппарата
783,Дежурный по корпусу
784,Учитель языка информатики
785,Врач кардиолог
786,Заместитель главы города курска
787,Консультант отдела по регулированию
788,Врач травмат -ортопед
789,Преподаватель дисциплин
790,Заведующий отделом культурно-досуговой работы
791,Старший инженер-проектировщик по организации движения
792,Заведующий отделом творчества
793,Уборщик производственных служебных помещений
794,Руководитель службы охраны труда
795,Главный специалист-эксперт по имущественным земельным
796,Воспиталь зпр
797,Учитель ритмики
798,Начальник отдела по информатизации государственных
799,Начальник отдела контроля
800,Глава образования
801,Санитар кабинета отделения
802,Заведующий отделом главный режиссер
803,Электромантер по ремонту обсл электроборуд
804,Заместитель директора по организации исполнения
805,Заведующий вет участком
806,Руководитель литературно частью
807,Начальник отд культуры
808,Контрол
809,Воспитатель группы дня
810,Заместитель начальника управления финансов начальник
811,Специалист по жанрам твор-ва
812,Заведующий архивом
813,Консультант по труду управления по
814,Главный специалист-эксперт по труду
815,Рабочий по ремонту оборудования
